ID,SOURCE,REVIEWED,PUBLISH_DATE,CWE_IDS,ALIASES,SUMMARY,SEVERITY,ECOSYSTEM,PACKAGE_NAME,VERSION_RANGE,REFERENCES
"GHSA-vr8q-g5c7-m54m","Github","True","2020-12-30T18:35:06Z","CWE-611","CVE-2020-26247","Nokogiri::XML::Schema trusts input by default, exposing risk of XXE vulnerability","MODERATE","RubyGems","nokogiri","[0,1.11.0)","[{'type': 'WEB', 'url': 'https://github.com/sparklemotion/nokogiri/security/advisories/GHSA-vr8q-g5c7-m54m'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-26247'}, {'type': 'WEB', 'url': 'https://github.com/sparklemotion/nokogiri/commit/9c87439d9afa14a365ff13e73adc809cb2c3d97b'}, {'type': 'WEB', 'url': 'https://hackerone.com/reports/747489'}, {'type': 'WEB', 'url': 'https://github.com/rubysec/ruby-advisory-db/blob/master/gems/nokogiri/CVE-2020-26247.yml'}, {'type': 'PACKAGE', 'url': 'https://github.com/sparklemotion/nokogiri'}, {'type': 'WEB', 'url': 'https://github.com/sparklemotion/nokogiri/blob/main/CHANGELOG.md#v1110--2021-01-03'}, {'type': 'WEB', 'url': 'https://github.com/sparklemotion/nokogiri/releases/tag/v1.11.0.rc4'}, {'type': 'WEB', 'url': 'https://lists.debian.org/debian-lts-announce/2021/06/msg00007.html'}, {'type': 'WEB', 'url': 'https://lists.debian.org/debian-lts-announce/2022/10/msg00018.html'}, {'type': 'WEB', 'url': 'https://rubygems.org/gems/nokogiri'}, {'type': 'WEB', 'url': 'https://security.gentoo.org/glsa/202208-29'}]"
"GHSA-w5mp-8p8w-mhh8","Github","True","2020-12-17T21:00:53Z","CWE-78","CVE-2020-7781","Command injection in connection-tester","CRITICAL","npm","connection-tester","[0,0.2.1)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-7781'}, {'type': 'WEB', 'url': 'https://github.com/skoranga/node-connection-tester/pull/10'}, {'type': 'WEB', 'url': 'https://snyk.io/vuln/SNYK-JS-CONNECTIONTESTER-1048337'}]"
"GHSA-wmfg-55f9-j8hq","Github","True","2020-12-24T20:49:34Z","CWE-74","CVE-2020-26282","Server-Side Template Injection","HIGH","Maven","com.browserup:browserup-proxy","[0,2.1.2)","[{'type': 'WEB', 'url': 'https://github.com/browserup/browserup-proxy/security/advisories/GHSA-wmfg-55f9-j8hq'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-26282'}, {'type': 'WEB', 'url': 'https://github.com/browserup/browserup-proxy/commit/4b38e7a3e20917e5c3329d0d4e9590bed9d578ab'}, {'type': 'WEB', 'url': 'https://github.com/browserup/browserup-proxy/releases/tag/v2.1.2'}, {'type': 'WEB', 'url': 'https://securitylab.github.com/research/bean-validation-RCE'}]"
"GHSA-wvcv-832q-fjg7","Github","True","2020-12-21T16:56:37Z","CWE-326","CVE-2020-26263","RSA weakness in tslite-ng","HIGH","PyPI","tlslite-ng","[0,0.7.6)","[{'type': 'WEB', 'url': 'https://github.com/tlsfuzzer/tlslite-ng/security/advisories/GHSA-wvcv-832q-fjg7'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-26263'}, {'type': 'WEB', 'url': 'https://github.com/tlsfuzzer/tlslite-ng/pull/438'}, {'type': 'WEB', 'url': 'https://github.com/tlsfuzzer/tlslite-ng/pull/439'}, {'type': 'WEB', 'url': 'https://github.com/tlsfuzzer/tlslite-ng/commit/c28d6d387bba59d8bd5cb3ba15edc42edf54b368'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tlslite-ng/PYSEC-2020-143.yaml'}, {'type': 'PACKAGE', 'url': 'https://github.com/tlsfuzzer/tlslite-ng'}, {'type': 'WEB', 'url': 'https://pypi.org/project/tlslite-ng'}, {'type': 'WEB', 'url': 'https://securitypitfalls.wordpress.com/2018/08/03/constant-time-compare-in-python'}]"
"GHSA-m7mf-48hp-5qmr","Github","True","2020-12-02T18:28:47Z","CWE-787","CVE-2020-16009","Inappropriate implementation in V8","HIGH","NuGet","CefSharp.Common","[0,86.0.241)[0,86.0.241)[0,86.0.241)[0,86.0.241)","[{'type': 'WEB', 'url': 'https://github.com/cefsharp/CefSharp/security/advisories/GHSA-m7mf-48hp-5qmr'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-16009'}, {'type': 'WEB', 'url': 'https://chromereleases.googleblog.com/2020/11/stable-channel-update-for-desktop.html'}, {'type': 'WEB', 'url': 'https://crbug.com/1143772'}, {'type': 'PACKAGE', 'url': 'https://github.com/cefsharp/CefSharp'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/S4XYJ7B6OXHZNYSA5J3DBUOFEC6WCAGW'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/SC3U3H6AISVZB5PLZLLNF4HMQ4UFFL7M'}, {'type': 'WEB', 'url': 'https://security.gentoo.org/glsa/202011-12'}, {'type': 'WEB', 'url': 'https://www.debian.org/security/2021/dsa-4824'}, {'type': 'WEB', 'url': 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00016.html'}, {'type': 'WEB', 'url': 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00017.html'}, {'type': 'WEB', 'url': 'http://packetstormsecurity.com/files/159974/Chrome-V8-Turbofan-Type-Confusion.html'}]"
"GHSA-p9j6-4pjr-gp48","Github","True","2020-12-18T18:28:23Z","CWE-22","CVE-2020-35460","MPXJ path Traversal vulnerability","MODERATE","Maven","net.sf.mpxj:mpxj","[0,8.3.5)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-35460'}, {'type': 'WEB', 'url': 'https://github.com/joniles/mpxj/commit/8eaf4225048ea5ba7e59ef4556dab2098fcc4a1d'}, {'type': 'WEB', 'url': 'https://www.oracle.com/security-alerts/cpujan2021.html'}, {'type': 'WEB', 'url': 'http://www.mpxj.org/changes-report.html#a8.3.5'}]"
"GHSA-q263-fvxm-m5mw","Github","True","2020-12-10T19:07:34Z","CWE-125, CWE-908","CVE-2020-26271","Heap out of bounds access in MakeEdge in TensorFlow","MODERATE","PyPI","tensorflow","[0,1.15.5)[2.0.0,2.0.4)[2.1.0,2.1.3)[2.2.0,2.2.2)[2.3.0,2.3.2)[0,1.15.5)[2.0.0,2.0.4)[2.1.0,2.1.3)[2.2.0,2.2.2)[2.3.0,2.3.2)[0,1.15.5)[2.0.0,2.0.4)[2.1.0,2.1.3)[2.2.0,2.2.2)[2.3.0,2.3.2)","[{'type': 'WEB', 'url': 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q263-fvxm-m5mw'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-26271'}, {'type': 'WEB', 'url': 'https://github.com/tensorflow/tensorflow/commit/0cc38aaa4064fd9e79101994ce9872c6d91f816b'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tensorflow-cpu/PYSEC-2020-302.yaml'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tensorflow-gpu/PYSEC-2020-337.yaml'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tensorflow/PYSEC-2020-257.yaml'}]"
"GHSA-qhxx-j73r-qpm2","Github","True","2020-12-10T19:07:24Z","CWE-908","CVE-2020-26266","Uninitialized memory access in TensorFlow","MODERATE","PyPI","tensorflow","[0,1.15.5)[2.0.0,2.0.4)[2.1.0,2.1.3)[2.2.0,2.2.2)[2.3.0,2.3.2)[0,1.15.5)[2.0.0,2.0.4)[2.1.0,2.1.3)[2.2.0,2.2.2)[2.3.0,2.3.2)[0,1.15.5)[2.0.0,2.0.4)[2.1.0,2.1.3)[2.2.0,2.2.2)[2.3.0,2.3.2)","[{'type': 'WEB', 'url': 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qhxx-j73r-qpm2'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-26266'}, {'type': 'WEB', 'url': 'https://github.com/tensorflow/tensorflow/commit/ace0c15a22f7f054abcc1f53eabbcb0a1239a9e2'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tensorflow-cpu/PYSEC-2020-297.yaml'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tensorflow-gpu/PYSEC-2020-332.yaml'}, {'type': 'WEB', 'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/tensorflow/PYSEC-2020-254.yaml'}, {'type': 'PACKAGE', 'url': 'https://github.com/tensorflow/tensorflow'}]"
"GHSA-qqgx-2p2h-9c37","Github","True","2020-12-10T16:53:45Z","CWE-1321","CVE-2020-7788","ini before 1.3.6 vulnerable to Prototype Pollution via ini.parse","HIGH","npm","ini","[0,1.3.6)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-7788'}, {'type': 'WEB', 'url': 'https://github.com/npm/ini/commit/56d2805e07ccd94e2ba0984ac9240ff02d44b6f1'}, {'type': 'PACKAGE', 'url': 'https://github.com/npm/ini'}, {'type': 'WEB', 'url': 'https://lists.debian.org/debian-lts-announce/2020/12/msg00032.html'}, {'type': 'WEB', 'url': 'https://snyk.io/vuln/SNYK-JS-INI-1048974'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/advisories/1589'}]"
"GHSA-r2qc-w64x-6j54","Github","True","2020-12-30T23:09:21Z","CWE-79","CVE-2020-26296","XSS in Vega","LOW","npm","vega","[0,5.17.3)","[{'type': 'WEB', 'url': 'https://github.com/vega/vega/security/advisories/GHSA-r2qc-w64x-6j54'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-26296'}, {'type': 'WEB', 'url': 'https://github.com/vega/vega/issues/3018'}, {'type': 'WEB', 'url': 'https://github.com/vega/vega/pull/3019'}, {'type': 'WEB', 'url': 'https://github.com/vega/vega/releases/tag/v5.17.3'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/package/vega'}]"
