ID,SOURCE,REVIEWED,PUBLISH_DATE,CWE_IDS,ALIASES,SUMMARY,SEVERITY,ECOSYSTEM,PACKAGE_NAME,VERSION_RANGE,REFERENCES
"GHSA-8c56-cpmw-89x7","Github","True","2017-12-13T21:38:24Z","CWE-125","CVE-2017-9050","Out-of-bounds read in nokogiri","HIGH","RubyGems","nokogiri","[0,1.8.1)","https://nvd.nist.gov/vuln/detail/CVE-2017-9050, https://security.gentoo.org/glsa/201711-01, http://www.debian.org/security/2017/dsa-3952, http://www.openwall.com/lists/oss-security/2017/05/15/1"
"GHSA-gj4p-3wh3-2rmf","Github","True","2017-12-21T00:47:25Z","CWE-22","CVE-2017-17042","Arbitrary file read vulnerability in yard server","HIGH","RubyGems","yard","[0,0.9.11)","https://nvd.nist.gov/vuln/detail/CVE-2017-17042, https://github.com/lsegal/yard/commit/b0217b3e30dc53d057b1682506333335975e62b4, https://github.com/advisories/GHSA-gj4p-3wh3-2rmf, https://github.com/lsegal/yard, https://github.com/rubysec/ruby-advisory-db/blob/master/gems/yard/CVE-2017-17042.yml"
"GHSA-h9mj-fghc-664w","Github","True","2017-12-28T22:51:58Z","CWE-674","CVE-2017-10910","Denial of Service in mqtt","MODERATE","npm","mqtt","[2.0.0,2.15.0)","https://nvd.nist.gov/vuln/detail/CVE-2017-10910, https://github.com/mqttjs/MQTT.js/commit/403ba53b838f2d319a0c0505a045fe00239e9923, https://github.com/advisories/GHSA-h9mj-fghc-664w, https://github.com/mqttjs/MQTT.js, https://github.com/mqttjs/MQTT.js/releases/tag/v2.15.0, https://github.com/nodejs/security-wg/blob/master/vuln/npm/357.json, https://jvn.jp/en/jp/JVN45494523/index.html, https://www.npmjs.com/advisories/555"
"GHSA-pm9p-9926-w68m","Github","True","2017-12-28T22:52:47Z","CWE-400","CVE-2016-10703","Denial of Service in ecstatic","HIGH","npm","ecstatic","[0,2.0.0)","https://nvd.nist.gov/vuln/detail/CVE-2016-10703, https://github.com/jfhbrook/node-ecstatic/commit/71ce93988ead4b561a8592168c72143907189f01, https://github.com/jfhbrook/node-ecstatic/commit/71ce93988ead4b561a8592168c72143907189f01#diff-b2b5a88fb51675f1aa1065c093dce1ee, https://advisory.checkmarx.net/advisory/CX-2016-4450, https://github.com/advisories/GHSA-pm9p-9926-w68m, https://github.com/jfhbrook/node-ecstatic, https://www.checkmarx.com/advisories/denial-of-service-dos-vulnerability-in-ecstatic-npm-package, https://www.npmjs.com/advisories/553"
"GHSA-pv8x-p9hq-j328","Github","True","2017-12-18T22:27:53Z","CWE-88","CVE-2017-1001003","Arbitrary Code Execution in mathjs","CRITICAL","npm","mathjs","[0,3.17.0)","https://nvd.nist.gov/vuln/detail/CVE-2017-1001003, https://github.com/josdejong/mathjs/commit/a60f3c8d9dd714244aed7a5569c3dccaa3a4e761, https://github.com/advisories/GHSA-pv8x-p9hq-j328, https://github.com/josdejong/mathjs/blob/master/HISTORY.md#2017-11-18-version-3170, https://www.npmjs.com/advisories/551"
"GHSA-vx5c-87qx-cv6c","Github","True","2017-12-18T22:27:45Z","CWE-94","CVE-2017-1001002","Arbitrary Code Execution in mathjs","CRITICAL","npm","mathjs","[0,3.17.0)","https://nvd.nist.gov/vuln/detail/CVE-2017-1001002, https://github.com/josdejong/mathjs/commit/8d2d48d81b3c233fb64eb2ec1d7a9e1cf6a55a90, https://github.com/advisories/GHSA-vx5c-87qx-cv6c, https://github.com/josdejong/mathjs/blob/master/HISTORY.md#2017-11-18-version-3170, https://www.npmjs.com/advisories/552"
"GHSA-x27v-x225-gq8g","Github","True","2017-12-06T16:43:00Z","CWE-918","CVE-2017-0905","Recurly gem Server-Side Request Forgery in Resource#find method","CRITICAL","RubyGems","recurly","[2.3.0,2.3.10)[2.2.0,2.2.5)[2.1.0,2.1.11)[2.0.0,2.0.13)[2.9.0,2.9.2)[2.8.0,2.8.2)[2.7.0,2.7.8)[2.6.0,2.6.3)[2.5.0,2.5.4)[2.4.0,2.4.11)[2.11.0,2.11.3)[2.10.0,2.10.4)","https://nvd.nist.gov/vuln/detail/CVE-2017-0905, https://github.com/recurly/recurly-client-ruby/commit/1bb0284d6e668b8b3d31167790ed6db1f6ccc4be, https://hackerone.com/reports/288635, https://github.com/recurly/recurly-client-ruby, https://github.com/rubysec/ruby-advisory-db/blob/master/gems/recurly/CVE-2017-0905.yml"
"GHSA-2w67-526p-gm73","Github","True","2017-12-06T16:41:25Z","CWE-502","CVE-2017-1000248","redis-store deserializes untrusted data","CRITICAL","RubyGems","redis-store","[0,1.4.0)","https://nvd.nist.gov/vuln/detail/CVE-2017-1000248, https://github.com/redis-store/redis-store/commit/ce13252c26fcc40ed4935c9abfeb0ee0761e5704, https://github.com/redis-store/redis-store/commit/e0c1398d54a9661c8c70267c3a925ba6b192142e, https://github.com/redis-store/redis-store, https://github.com/rubysec/ruby-advisory-db/blob/master/gems/redis-store/CVE-2017-1000248.yml"
"GHSA-3f5c-4qxj-vmpf","Github","True","2017-12-05T02:04:14Z","CWE-22","CVE-2017-16877","Next.js Directory Traversal Vulnerability","HIGH","npm","next","[1.0.0,2.4.1)","https://nvd.nist.gov/vuln/detail/CVE-2017-16877, https://github.com/vercel/next.js/commit/02fe7cf63f6265d73bdaf8bc50a4f2fb539dcd00, https://github.com/zeit/next.js, https://github.com/zeit/next.js/releases/tag/2.4.1"
"GHSA-3rpr-mg43-xhq4","Github","True","2017-12-21T00:47:20Z","CWE-200","CVE-2017-17068","auth0-js Privilege Escalation Vulnerability","HIGH","npm","auth0-js","[0,8.12.0)","https://nvd.nist.gov/vuln/detail/CVE-2017-17068, https://appcheck-ng.com/appcheck-discovers-vulnerability-auth0-library-cve-2017-17068, https://auth0.com/docs/security/bulletins/cve-2017-17068, https://github.com/advisories/GHSA-3rpr-mg43-xhq4"
"GHSA-7fpw-cfc4-3p2c","Github","True","2017-12-28T22:51:45Z","CWE-290","","Duplicate advisory: High severity vulnerability that affects passport-wsfed-saml2","HIGH","npm","passport-wsfed-saml2","[0,3.0.5)","https://nvd.nist.gov/vuln/detail/CVE-2017-16897, https://auth0.com/docs/security/bulletins/cve-2017-16897, https://github.com/advisories/GHSA-7fpw-cfc4-3p2c"
"GHSA-pjj4-w39g-pw54","Github","True","2017-11-21T18:26:40Z","CWE-20","CVE-2017-15928","Ox gem crashes due to a crafted input","HIGH","RubyGems","ox","[0,2.8.1)","https://nvd.nist.gov/vuln/detail/CVE-2017-15928, https://github.com/ohler55/ox/issues/194, https://github.com/ohler55/ox, https://github.com/rubysec/ruby-advisory-db/blob/master/gems/ox/CVE-2017-15928.yml, https://rubygems.org/gems/ox/versions/2.8.0"
