ID,SOURCE,REVIEWED,PUBLISH_DATE,CWE_IDS,ALIASES,SUMMARY,SEVERITY,ECOSYSTEM,PACKAGE_NAME,VERSION_RANGE,REFERENCES
"GHSA-qhrx-hcm6-pmrw","Github","True","2019-12-02T18:12:26Z","CWE-502","CVE-2019-11458","Unsafe deserialization in SmtpTransport in CakePHP","HIGH","Packagist","cakephp/cakephp","[3.0.0,3.5.18)[3.6.0,3.6.15)[3.7.0,3.7.7)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-11458'}, {'type': 'WEB', 'url': 'https://github.com/cakephp/cakephp/commit/1a74e798309192a9895c9cedabd714ceee345f4e'}, {'type': 'WEB', 'url': 'https://bakery.cakephp.org/2019/04/23/cakephp_377_3615_3518_released.html'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/cakephp/cakephp/CVE-2019-11458.yaml'}, {'type': 'PACKAGE', 'url': 'https://github.com/cakephp/cakephp'}, {'type': 'WEB', 'url': 'https://github.com/cakephp/cakephp/commits/master'}, {'type': 'WEB', 'url': 'https://github.com/cakephp/cakephp/compare/3.7.6...3.7.7'}, {'type': 'WEB', 'url': 'https://github.com/cakephp/cakephp/releases'}]"
"GHSA-rh46-3fgc-mvrf","Github","True","2019-12-04T21:25:28Z","CWE-287","CVE-2019-19507","Validation bypass is possible in Json Pattern Validator","MODERATE","npm","jpv","[0,2.1.1)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-19507'}, {'type': 'WEB', 'url': 'https://github.com/manvel-khnkoyan/jpv/issues/6'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/package/jpv'}]"
"GHSA-v63x-xc9j-hhvq","Github","True","2019-12-11T02:01:44Z","CWE-20, CWE-94","CVE-2019-10769","Sandbox Breakout / Arbitrary Code Execution in safer-eval","CRITICAL","npm","safer-eval","[0,1.3.6]","[{'type': 'WEB', 'url': 'https://github.com/commenthol/safer-eval/security/advisories/GHSA-v63x-xc9j-hhvq'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-10769'}, {'type': 'ADVISORY', 'url': 'https://github.com/advisories/GHSA-v63x-xc9j-hhvq'}, {'type': 'WEB', 'url': 'https://snyk.io/vuln/SNYK-JS-SAFEREVAL-534901'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/advisories/1428'}]"
"GHSA-w457-6q6x-cgp9","Github","True","2019-12-26T17:58:13Z","CWE-1321, CWE-74","CVE-2019-19919","Prototype Pollution in handlebars","CRITICAL","npm","handlebars","[4.0.0,4.3.0)[0.3.3.5,0.3.3.8][0,3.0.8)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-19919'}, {'type': 'WEB', 'url': 'https://github.com/wycats/handlebars.js/issues/1558'}, {'type': 'WEB', 'url': 'https://github.com/handlebars-lang/handlebars.js/commit/156061eb7707575293613d7fdf90e2bdaac029ee'}, {'type': 'WEB', 'url': 'https://github.com/handlebars-lang/handlebars.js/commit/90ad8d97ad2933852fb83fcc054699dc99e094db'}, {'type': 'WEB', 'url': 'https://github.com/wycats/handlebars.js/commit/2078c727c627f25d4a149962f05c1e069beb18bc'}, {'type': 'WEB', 'url': 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19919'}, {'type': 'WEB', 'url': 'https://github.com/Nerian/bootstrap-wysihtml5-rails/blob/master/vendor/assets/javascripts/bootstrap-wysihtml5/handlebars.runtime.min.js'}, {'type': 'WEB', 'url': 'https://github.com/Nerian/bootstrap-wysihtml5-rails/tree/master/vendor/assets/javascripts/bootstrap-wysihtml5'}, {'type': 'WEB', 'url': 'https://github.com/rubysec/ruby-advisory-db/blob/master/gems/bootstrap-wysihtml5-rails/CVE-2019-19919.yml'}, {'type': 'PACKAGE', 'url': 'https://github.com/wycats/handlebars.js'}, {'type': 'WEB', 'url': 'https://www.tenable.com/security/tns-2021-14'}]"
"GHSA-wjx8-cgrm-hh8p","Github","True","2019-12-17T22:53:10Z","CWE-434","CVE-2019-19745","Unrestricted file uploads in Contao","HIGH","Packagist","contao/core-bundle","[4.0.0,4.4.46)[4.5.0,4.8.6)[4.0.0,4.4.46)[4.5.0,4.8.6)","[{'type': 'WEB', 'url': 'https://github.com/contao/contao/security/advisories/GHSA-wjx8-cgrm-hh8p'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-19745'}, {'type': 'WEB', 'url': 'https://contao.org/en/news.html'}, {'type': 'WEB', 'url': 'https://contao.org/en/security-advisories/unrestricted-file-uploads.html'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/contao/contao/CVE-2019-19745.yaml'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/contao/core-bundle/CVE-2019-19745.yaml'}, {'type': 'PACKAGE', 'url': 'https://github.com/contao/contao'}]"
"GHSA-x8qc-rrcw-4r46","Github","True","2019-12-13T15:39:26Z","CWE-22","CVE-2019-16776","npm symlink reference outside of node_modules","HIGH","npm","npm","[0,6.13.3)","[{'type': 'WEB', 'url': 'https://github.com/npm/cli/security/advisories/GHSA-x8qc-rrcw-4r46'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-16776'}, {'type': 'WEB', 'url': 'https://access.redhat.com/errata/RHEA-2020:0330'}, {'type': 'WEB', 'url': 'https://access.redhat.com/errata/RHSA-2020:0573'}, {'type': 'WEB', 'url': 'https://access.redhat.com/errata/RHSA-2020:0579'}, {'type': 'WEB', 'url': 'https://access.redhat.com/errata/RHSA-2020:0597'}, {'type': 'WEB', 'url': 'https://access.redhat.com/errata/RHSA-2020:0602'}, {'type': 'WEB', 'url': 'https://blog.npmjs.org/post/189618601100/binary-planting-with-the-npm-cli'}, {'type': 'ADVISORY', 'url': 'https://github.com/advisories/GHSA-x8qc-rrcw-4r46'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/Z36UKPO5F3PQ3Q2POMF5LEKXWAH5RUFP'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/advisories/1436'}, {'type': 'WEB', 'url': 'https://www.oracle.com/security-alerts/cpujan2020.html'}, {'type': 'WEB', 'url': 'http://lists.opensuse.org/opensuse-security-announce/2020-01/msg00027.html'}]"
"GHSA-x92h-wmg2-6hp7","Github","True","2019-12-02T18:10:24Z","CWE-79, CWE-89","CVE-2019-10913","Invalid HTTP method overrides allow possible XSS or other attacks in Symfony","CRITICAL","Packagist","symfony/http-foundation","[2.7.0,2.7.51)[2.8.0,2.8.50)[3.0.0,3.4.26)[4.0.0,4.1.12)[4.2.0,4.2.7)[2.7.0,2.7.51)[2.8.0,2.8.50)[3.0.0,3.4.26)[4.0.0,4.1.12)[4.2.0,4.2.7)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-10913'}, {'type': 'WEB', 'url': 'https://github.com/symfony/symfony/commit/944e60f083c3bffbc6a0b5112db127a10a66a8ec'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/symfony/http-foundation/CVE-2019-10913.yaml'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/symfony/symfony/CVE-2019-10913.yaml'}, {'type': 'WEB', 'url': 'https://symfony.com/blog/cve-2019-10913-reject-invalid-http-method-overrides'}, {'type': 'WEB', 'url': 'https://symfony.com/cve-2019-10913'}]"
"GHSA-xhh6-956q-4q69","Github","True","2019-12-02T18:08:19Z","CWE-20, CWE-88","CVE-2019-18888","Argument injection in a MimeTypeGuesser in Symfony","HIGH","Packagist","symfony/http-foundation","[2.0.0,2.8.52)[3.0.0,3.4.35)[4.0.0,4.2.12)[4.3.0,4.3.8)[4.3.0,4.3.8)[2.0.0,2.8.52)[3.0.0,3.4.35)[4.0.0,4.2.12)[4.3.0,4.3.8)","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-18888'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/symfony/http-foundation/CVE-2019-18888.yaml'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/symfony/mime/CVE-2019-18888.yaml'}, {'type': 'WEB', 'url': 'https://github.com/FriendsOfPHP/security-advisories/blob/master/symfony/symfony/CVE-2019-18888.yaml'}, {'type': 'WEB', 'url': 'https://github.com/symfony/symfony/releases/tag/v4.3.8'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/DZNXRVHDQBNZQUCNRVZICPPBFRAUWUJX'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/UED22BOXTL2SSFMGYKA64ZFHGLLJG3EA'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/VXEAOEANNIVYANTMOJ42NKSU6BGNBULZ'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/DZNXRVHDQBNZQUCNRVZICPPBFRAUWUJX'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/UED22BOXTL2SSFMGYKA64ZFHGLLJG3EA'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/VXEAOEANNIVYANTMOJ42NKSU6BGNBULZ'}, {'type': 'WEB', 'url': 'https://symfony.com/blog/cve-2019-18888-prevent-argument-injection-in-a-mimetypeguesser'}, {'type': 'WEB', 'url': 'https://symfony.com/blog/symfony-4-3-8-released'}, {'type': 'WEB', 'url': 'https://symfony.com/cve-2019-18888'}]"
"GHSA-hm6q-r2jc-cpqh","Github","True","2019-12-16T19:29:33Z","CWE-506","CVE-2019-19771","lodahs is malware","HIGH","npm","lodahs","[0.0.1,","[{'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-19771'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/advisories/1417'}, {'type': 'WEB', 'url': 'https://www.npmjs.com/package/lodahs'}]"
"GHSA-hrqr-hxpp-chr3","Github","True","2019-12-18T19:01:31Z","CWE-203, CWE-208","CVE-2019-16782","Possible Information Leak / Session Hijack Vulnerability in Rack","MODERATE","RubyGems","rack","[0,1.6.12)[2.0.0,2.0.8)","[{'type': 'WEB', 'url': 'https://github.com/rack/rack/security/advisories/GHSA-hrqr-hxpp-chr3'}, {'type': 'ADVISORY', 'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-16782'}, {'type': 'WEB', 'url': 'https://github.com/rack/rack/commit/7fecaee81f59926b6e1913511c90650e76673b38'}, {'type': 'PACKAGE', 'url': 'https://github.com/rack/rack'}, {'type': 'WEB', 'url': 'https://github.com/rubysec/ruby-advisory-db/blob/master/gems/rack/CVE-2019-16782.yml'}, {'type': 'WEB', 'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/HZXMWILCICQLA2BYSP6I2CRMUG53YBLX'}, {'type': 'WEB', 'url': 'http://lists.opensuse.org/opensuse-security-announce/2020-02/msg00016.html'}, {'type': 'WEB', 'url': 'http://www.openwall.com/lists/oss-security/2019/12/18/2'}, {'type': 'WEB', 'url': 'http://www.openwall.com/lists/oss-security/2019/12/18/3'}, {'type': 'WEB', 'url': 'http://www.openwall.com/lists/oss-security/2019/12/19/3'}, {'type': 'WEB', 'url': 'http://www.openwall.com/lists/oss-security/2020/04/08/1'}, {'type': 'WEB', 'url': 'http://www.openwall.com/lists/oss-security/2020/04/09/2'}]"
