ID,SOURCE,REVIEWED,PUBLISH_DATE,CWE_IDS,ALIASES,SUMMARY,SEVERITY,ECOSYSTEM,PACKAGE_NAME,VERSION_RANGE,REFERENCES
"GHSA-wjpc-cgvw-xx23","Github","True","2021-12-16T14:29:34Z","CWE-1321","CVE-2021-23663","Prototype Pollution in sey","MODERATE","npm","sey","[0,0.3.0]","https://nvd.nist.gov/vuln/detail/CVE-2021-23663, https://github.com/eserozvataf/sey, https://snyk.io/vuln/SNYK-JS-SEY-1727592"
"GHSA-wjqc-j537-j9gj","Github","True","2021-12-08T00:01:44Z","CWE-78","CVE-2021-44685","Command injection in git-it-electron","CRITICAL","npm","git-it-electron","[0,4.3.0]","https://nvd.nist.gov/vuln/detail/CVE-2021-44685, https://github.com/dwisiswant0/advisory/issues/3, https://advisory.dw1.io/3, https://github.com/jlord/git-it-electron, https://github.com/jlord/git-it-electron/releases"
"GHSA-wp4h-pvgw-5727","Github","True","2021-12-02T14:50:51Z","CWE-1321, CWE-915","CVE-2019-0230","Improperly Controlled Modification of Dynamically-Determined Object Attributes in Apache Struts","CRITICAL","Maven","org.apache.struts:struts2-core","[2.0.0,2.5.22)","https://nvd.nist.gov/vuln/detail/CVE-2019-0230, https://cwiki.apache.org/confluence/display/ww/s2-059, https://github.com/apache/struts, https://launchpad.support.sap.com/#/notes/2982840, https://lists.apache.org/thread.html/r1125f3044a0946d1e7e6f125a6170b58d413ebd4a95157e4608041c7@%3Cannounce.apache.org%3E, https://lists.apache.org/thread.html/r90890afea72a9571d666820b2fe5942a0a5f86be406fa31da3dd0922@%3Cannounce.apache.org%3E, https://www.oracle.com/security-alerts/cpuApr2021.html, https://www.oracle.com/security-alerts/cpujan2021.html, https://www.oracle.com/security-alerts/cpuoct2021.html, http://packetstormsecurity.com/files/160108/Apache-Struts-2.5.20-Double-OGNL-Evaluation.html, http://packetstormsecurity.com/files/160721/Apache-Struts-2-Forced-Multi-OGNL-Evaluation.html"
"GHSA-wx5j-54mm-rqqq","Github","True","2021-12-09T19:09:17Z","CWE-444","CVE-2021-43797","HTTP request smuggling in netty","MODERATE","Maven","io.netty:netty-codec-http","[4.0.0,4.1.71.Final)[0,[0,","https://github.com/netty/netty/security/advisories/GHSA-wx5j-54mm-rqqq, https://nvd.nist.gov/vuln/detail/CVE-2021-43797, https://github.com/netty/netty/pull/11891, https://github.com/netty/netty/commit/07aa6b5938a8b6ed7a6586e066400e2643897323, https://github.com/netty/netty, https://lists.debian.org/debian-lts-announce/2023/01/msg00008.html, https://security.netapp.com/advisory/ntap-20220107-0003, https://www.debian.org/security/2023/dsa-5316, https://www.oracle.com/security-alerts/cpuapr2022.html, https://www.oracle.com/security-alerts/cpujul2022.html"
"GHSA-wxc4-f4m6-wwqv","Github","True","2021-12-20T16:55:06Z","CWE-1050","CVE-2019-11254","Excessive Platform Resource Consumption within a Loop in Kubernetes","MODERATE","Go","gopkg.in/yaml.v2","[0,2.2.8)[0,2.1.0]","https://nvd.nist.gov/vuln/detail/CVE-2019-11254, https://github.com/kubernetes/kubernetes/issues/89535, https://github.com/go-yaml/yaml/pull/555, https://github.com/kubernetes/kubernetes/pull/87467/commits/b86df2bec4f377afc0ca03482ffad2f0a49a83b8, https://github.com/go-yaml/yaml/commit/53403b58ad1b561927d19068c655246f2db79d48, https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=18496, https://groups.google.com/d/msg/kubernetes-announce/ALL9s73E5ck/4yHe8J-PBAAJ, https://pkg.go.dev/vuln/GO-2020-0036, https://security.netapp.com/advisory/ntap-20200413-0003"
"GHSA-x68c-4gmm-5g43","Github","True","2021-12-03T20:40:38Z","CWE-79","CVE-2021-3985","kimai2 is vulnerable to Cross-site Scripting","HIGH","Packagist","kevinpapst/kimai2","[0,1.16.3)","https://nvd.nist.gov/vuln/detail/CVE-2021-3985, https://github.com/kevinpapst/kimai2/commit/76e09447c85e762882126b49626a4fe4d93fe8b5, https://github.com/kevinpapst/kimai2, https://github.com/kevinpapst/kimai2/releases/tag/1.16.3, https://huntr.dev/bounties/89d6c3de-efbd-4354-8cc8-46e999e4c5a4"
"GHSA-x949-7cm6-fm6p","Github","True","2021-12-16T14:34:40Z","CWE-94","CVE-2021-23639","Code Injection in md-to-pdf.","CRITICAL","npm","md-to-pdf","[0,5.0.0)","https://nvd.nist.gov/vuln/detail/CVE-2021-23639, https://github.com/simonhaenisch/md-to-pdf/issues/99, https://github.com/simonhaenisch/md-to-pdf/commit/a716259c548c82fa1d3b14a3422e9100619d2d8a, https://github.com/simonhaenisch/md-to-pdf, https://snyk.io/vuln/SNYK-JS-MDTOPDF-1657880"
"GHSA-xmc8-26q4-qjhx","Github","True","2021-12-09T19:17:21Z","CWE-770","CVE-2020-28491","Denial of Service (DoS) in Jackson Dataformat CBOR","HIGH","Maven","com.fasterxml.jackson.dataformat:jackson-dataformat-cbor","[2.8.0rc1,2.11.4)[2.12.0rc1,2.12.1)","https://nvd.nist.gov/vuln/detail/CVE-2020-28491, https://github.com/FasterXML/jackson-dataformats-binary/issues/186, https://github.com/FasterXML/jackson-dataformats-binary/commit/3d7de83423f8f68f8e9a0c8250084e11818544c7, https://github.com/FasterXML/jackson-dataformats-binary/commit/de072d314af8f5f269c8abec6930652af67bc8e6, https://github.com/FasterXML/jackson-dataformats-binary, https://snyk.io/vuln/SNYK-JAVA-COMFASTERXMLJACKSONDATAFORMAT-1047329, https://www.oracle.com/security-alerts/cpujul2022.html"
"GHSA-xmgj-5fh3-xjmm","Github","True","2021-12-17T19:59:13Z","CWE-22","CVE-2021-43840","Path traversal when MessageBus::Diagnostics is enabled","MODERATE","RubyGems","message_bus","[0,3.3.7)","https://github.com/discourse/message_bus/security/advisories/GHSA-xmgj-5fh3-xjmm, https://nvd.nist.gov/vuln/detail/CVE-2021-43840, https://github.com/discourse/message_bus/commit/9b6deee01ed474c7e9b5ff65a06bb0447b4db2ba, https://github.com/discourse/message_bus, https://github.com/rubysec/ruby-advisory-db/blob/master/gems/message_bus/CVE-2021-43840.yml"
"GHSA-xq58-69h2-765m","Github","True","2021-12-16T15:27:06Z","CWE-352","CVE-2021-44227","Cross Site Request Forgery in mailman","HIGH","PyPI","mailman","[0,2.1.38)","https://nvd.nist.gov/vuln/detail/CVE-2021-44227, https://bugs.launchpad.net/mailman/+bug/1952384, https://gitlab.com/mailman/mailman, https://lists.debian.org/debian-lts-announce/2022/06/msg00011.html"
